Timestamp,CO2_PPM
2025-12-10 07:44:35.205002,791
2025-12-10 07:45:05.412441,757
2025-12-10 07:45:35.436539,756
2025-12-10 07:46:05.574107,757
2025-12-10 07:46:35.791911,761
2025-12-10 07:47:05.989578,763
2025-12-10 07:47:36.197769,764
2025-12-10 07:48:06.408907,763
2025-12-10 07:48:36.613100,756
2025-12-10 07:49:06.823649,752
2025-12-10 07:49:37.029635,744
2025-12-10 07:50:07.238830,732
2025-12-10 07:50:37.445845,730
2025-12-10 07:51:07.656331,730
2025-12-10 07:51:37.863413,729
2025-12-10 07:52:08.083447,730
2025-12-10 07:52:38.279903,732
2025-12-10 07:53:08.492496,731
2025-12-10 07:53:38.697046,731
2025-12-10 07:54:08.904223,731
2025-12-10 07:54:38.929949,730
2025-12-10 07:55:09.089170,728
2025-12-10 07:55:39.272170,728
2025-12-10 07:56:09.482383,724
2025-12-10 07:56:39.692661,721
2025-12-10 07:57:09.917700,715
2025-12-10 07:57:39.954090,709
2025-12-10 07:58:10.062227,703
2025-12-10 07:58:40.270602,700
2025-12-10 07:59:10.477666,694
2025-12-10 07:59:40.686902,688
2025-12-10 08:00:10.898619,686
2025-12-10 08:00:40.925758,686
2025-12-10 08:01:11.317010,689
2025-12-10 08:01:41.518916,685
2025-12-10 08:02:11.729124,680
2025-12-10 08:02:41.937916,679
2025-12-10 08:03:12.144349,674
2025-12-10 08:03:42.352968,669
2025-12-10 08:04:12.561668,666
2025-12-10 08:04:42.778864,663
2025-12-10 08:05:13.490220,656
2025-12-10 08:05:43.700240,650
2025-12-10 08:06:13.910168,644
2025-12-10 08:06:44.116191,642
2025-12-10 08:07:14.318582,641
2025-12-10 08:07:44.524091,640
2025-12-10 08:08:14.733150,638
2025-12-10 08:08:44.940332,634
2025-12-10 08:12:21.038547,627
2025-12-10 08:13:09.664178,600
2025-12-10 08:13:39.874940,600
2025-12-10 08:14:10.086362,600
2025-12-10 08:14:40.309780,601
2025-12-10 08:15:10.501882,606
2025-12-10 08:15:40.723810,611
2025-12-10 08:16:10.757303,615
2025-12-10 08:16:40.867174,614
2025-12-10 08:17:11.077626,612
2025-12-10 08:17:41.539867,609
2025-12-10 08:18:12.033564,607
2025-12-10 08:18:42.213807,608
2025-12-10 08:19:12.422276,605
2025-12-10 08:19:42.628967,604
2025-12-10 08:20:12.836586,606
2025-12-10 08:20:43.051643,608
2025-12-10 08:21:13.253357,609
2025-12-10 08:21:43.464809,607
2025-12-10 08:22:13.670056,604
2025-12-10 08:22:43.881195,599
2025-12-10 08:23:14.087882,598
2025-12-10 08:23:44.294606,594
2025-12-10 08:24:14.504194,591
2025-12-10 08:24:44.714152,589
2025-12-10 08:25:14.926014,588
2025-12-10 08:25:45.139247,586
2025-12-10 08:26:15.340295,584
2025-12-10 08:26:45.561502,579
2025-12-10 08:27:15.753025,581
2025-12-10 08:27:45.965211,575
2025-12-10 08:28:16.171205,574
2025-12-10 08:28:46.378735,573
2025-12-10 08:29:16.587643,573
2025-12-10 08:29:46.798714,579
2025-12-10 08:30:16.996419,591
2025-12-10 08:30:47.444991,607
2025-12-10 08:31:17.650717,617
2025-12-10 08:31:47.858965,629
2025-12-10 08:32:18.065265,636
2025-12-10 08:32:48.275038,641
2025-12-10 08:33:18.484181,656
2025-12-10 08:33:48.692737,675
2025-12-10 08:34:18.897736,685
2025-12-10 08:34:49.110936,694
2025-12-10 08:35:19.317181,696
2025-12-10 08:35:49.532109,698
2025-12-10 08:36:19.751923,698
2025-12-10 08:36:49.938846,699
2025-12-10 08:54:50.144999,699
2025-12-10 09:11:09.467075,639
2025-12-10 09:11:39.692457,604
2025-12-10 09:28:14.160280,602
2025-12-10 09:44:34.384624,571
2025-12-10 09:45:04.609532,547
2025-12-10 10:01:41.882671,547
2025-12-10 10:02:12.092364,527
2025-12-10 10:18:40.941844,526
2025-12-10 10:32:46.872091,508
2025-12-10 10:33:17.066168,499
2025-12-10 10:50:21.421748,499
2025-12-10 11:06:28.816078,488
2025-12-10 11:06:59.004796,480
2025-12-10 11:24:03.514436,480
2025-12-10 11:33:44.689426,469
2025-12-10 11:34:14.807070,467
2025-12-10 11:50:11.716968,467
2025-12-10 11:50:41.925383,462
2025-12-10 12:05:30.318968,462
2025-12-10 12:22:55.319092,460
2025-12-10 12:23:25.527292,458
2025-12-10 12:34:58.527059,457
2025-12-10 12:35:28.661232,455
2025-12-10 12:51:22.023826,455
2025-12-10 13:09:14.221616,455
2025-12-10 13:09:44.452080,447
2025-12-10 13:26:40.783232,446
2025-12-10 13:35:41.070653,442
2025-12-10 13:36:11.242338,443
2025-12-10 13:52:24.395041,442
2025-12-10 13:52:54.582358,442
2025-12-10 14:09:54.157961,442
2025-12-10 14:25:34.386408,439
2025-12-10 14:26:04.594000,440
2025-12-10 14:36:53.870778,440
2025-12-10 14:37:24.082625,440
2025-12-10 14:54:45.148487,438
2025-12-10 15:12:59.612518,435
2025-12-10 15:13:29.874363,434
2025-12-10 15:29:59.253826,433
2025-12-10 15:37:36.754430,433
2025-12-10 15:38:07.201846,432
2025-12-10 15:54:50.406352,432
2025-12-10 15:55:20.439112,431
2025-12-10 16:11:56.773219,431
2025-12-10 16:12:26.981545,433
2025-12-10 16:28:59.119433,434
2025-12-10 16:38:49.657079,435
2025-12-10 16:39:19.866585,434
2025-12-10 16:55:00.884586,434
2025-12-10 16:55:30.997156,437
2025-12-10 17:11:51.505830,437
2025-12-10 17:28:01.828702,440
2025-12-10 17:28:32.041715,440
2025-12-10 17:40:02.351259,440
2025-12-10 17:40:32.498595,438
2025-12-10 17:58:07.555148,438
2025-12-10 18:13:43.684210,444
2025-12-10 18:14:13.895723,440
2025-12-10 18:29:44.277856,440
2025-12-10 18:40:42.542112,443
2025-12-10 18:41:12.740537,443
2025-12-10 18:58:40.471139,443
2025-12-10 18:59:10.619911,444
2025-12-10 18:59:40.664384,445
2025-12-10 19:00:10.733140,445
2025-12-10 19:00:41.114790,445
2025-12-10 19:01:11.290071,445
2025-12-10 19:01:41.499046,445
2025-12-10 19:09:34.622802,445
2025-12-10 19:10:04.799325,448
2025-12-10 19:10:35.013893,448
2025-12-10 19:11:05.232092,452
2025-12-10 19:11:35.422953,463
2025-12-10 19:12:05.634533,472
2025-12-10 19:12:35.841709,479
2025-12-10 19:13:06.049314,483
2025-12-10 19:13:36.256339,488
2025-12-10 19:14:06.464965,499
2025-12-10 19:14:36.934632,501
2025-12-10 19:15:07.142035,500
2025-12-10 19:15:37.350306,500
2025-12-10 19:16:07.552838,502
2025-12-10 19:16:37.762722,508
2025-12-10 19:17:07.974928,516
2025-12-10 19:17:38.467516,521
2025-12-10 19:18:08.646554,522
2025-12-10 19:18:38.854467,521
2025-12-10 19:19:09.059159,519
2025-12-10 19:19:39.271924,518
2025-12-10 19:20:09.478543,516
2025-12-10 19:20:39.688746,516
2025-12-10 19:21:10.231260,516
2025-12-10 19:33:25.713120,515
2025-12-10 19:33:55.919149,588
2025-12-10 19:34:26.127437,589
2025-12-10 19:34:56.338559,591
2025-12-10 19:35:26.544739,592
2025-12-10 19:35:56.747609,593
2025-12-10 19:36:26.960746,593
2025-12-10 19:36:57.164306,590
2025-12-10 19:37:27.372383,586
2025-12-10 19:37:57.579712,583
2025-12-10 19:38:27.788957,579
2025-12-10 19:38:57.996717,575
2025-12-10 19:39:28.204415,572
2025-12-10 19:39:58.418072,567
2025-12-10 19:40:28.620629,565
2025-12-10 19:40:58.852084,563
2025-12-10 19:41:29.035006,560
2025-12-10 19:41:59.244285,556
2025-12-10 19:42:29.451631,555
2025-12-10 19:42:59.663402,553
2025-12-10 19:43:29.867100,551
2025-12-10 19:57:21.300403,550
2025-12-10 19:57:51.497398,508
2025-12-10 19:58:21.706697,506
2025-12-10 19:58:51.918611,505
2025-12-10 19:59:22.171410,511
2025-12-10 19:59:52.354973,521
2025-12-10 20:00:22.539689,527
2025-12-10 20:00:52.776819,534
2025-12-10 20:01:22.982418,541
2025-12-10 20:01:53.184490,547
2025-12-10 20:02:23.392855,553
2025-12-10 20:02:53.601857,552
2025-12-10 20:03:23.792221,554
2025-12-10 20:03:54.024270,553
2025-12-10 20:04:24.225583,554
2025-12-10 20:04:54.438813,552
2025-12-10 20:05:24.642058,550
2025-12-10 20:05:54.851112,547
2025-12-10 20:06:25.061842,546
2025-12-10 20:06:55.248335,542
2025-12-10 20:07:25.467999,539
2025-12-10 20:07:55.688261,538
2025-12-10 20:08:25.892177,536
2025-12-10 20:08:56.104930,534
2025-12-10 20:09:26.307476,531
2025-12-10 20:09:56.499086,529
2025-12-10 20:10:26.723657,527
2025-12-10 20:10:56.915461,526
2025-12-10 20:11:27.385896,525
2025-12-10 20:11:57.606934,523
2025-12-10 20:12:27.806036,523
2025-12-10 20:12:57.994163,521
2025-12-10 20:13:28.233897,518
2025-12-10 20:13:58.415880,518
2025-12-10 20:14:28.636016,518
2025-12-10 20:14:58.868039,516
2025-12-10 20:15:29.071334,515
2025-12-10 20:15:59.285498,515
2025-12-10 20:16:29.362266,513
2025-12-10 20:16:59.453368,512
2025-12-10 20:17:29.530727,510
2025-12-10 20:17:59.605660,509
2025-12-10 20:18:29.787364,510
2025-12-10 20:18:59.815443,509
2025-12-10 20:19:29.958196,514
2025-12-10 20:20:00.153326,528
2025-12-10 20:20:30.380167,539
2025-12-10 20:21:00.827806,540
2025-12-10 20:21:30.919417,543
2025-12-10 20:22:01.054474,551
2025-12-10 20:22:31.220885,559
2025-12-10 20:23:01.403084,565
2025-12-10 20:23:31.608494,572
2025-12-10 20:24:01.846481,574
2025-12-10 20:24:31.872575,577
2025-12-10 20:25:02.004798,582
2025-12-10 20:25:32.208334,585
2025-12-10 20:26:02.410860,592
2025-12-10 20:26:32.623965,599
2025-12-10 20:27:02.817127,600
2025-12-10 20:27:33.047252,603
2025-12-10 20:28:03.224903,602
2025-12-10 20:28:33.434303,605
2025-12-10 20:29:03.672596,608
2025-12-10 20:29:33.849710,615
2025-12-10 20:30:04.077140,615
2025-12-10 20:30:34.265544,617
2025-12-10 20:31:04.474020,624
2025-12-10 20:31:34.704598,626
2025-12-10 20:32:04.919611,627
2025-12-10 20:32:35.097539,628
2025-12-10 20:33:05.322859,631
2025-12-10 20:33:35.516191,631
2025-12-10 20:34:05.724075,632
2025-12-10 20:34:35.932047,634
2025-12-10 20:35:06.155214,638
2025-12-10 20:35:36.369105,642
2025-12-10 20:36:06.583082,647
2025-12-10 20:36:36.776993,649
2025-12-10 20:37:06.992069,649
2025-12-10 20:37:37.200968,651
2025-12-10 20:38:07.385784,655
2025-12-10 20:38:37.601112,657
2025-12-10 20:39:07.832080,659
2025-12-10 20:39:38.011215,659
2025-12-10 20:40:08.221969,661
2025-12-10 20:40:38.522003,660
2025-12-10 20:41:08.962769,660
2025-12-10 20:41:39.498447,662
2025-12-10 20:42:09.562122,663
2025-12-10 20:42:39.769524,665
2025-12-10 20:43:09.996279,669
2025-12-10 20:43:40.185673,670
2025-12-10 20:44:10.425085,675
2025-12-10 20:44:40.605326,678
2025-12-10 20:45:10.827536,678
2025-12-10 20:45:41.013452,677
2025-12-10 20:46:11.241828,678
2025-12-10 20:46:41.425966,678
2025-12-10 20:47:11.659443,678
2025-12-10 20:47:41.838054,680
2025-12-10 20:48:12.063972,680
2025-12-10 20:48:42.254633,680
2025-12-10 20:49:12.463523,682
2025-12-10 20:49:42.673523,682
2025-12-10 20:50:12.896254,683
2025-12-10 20:50:43.084614,684
2025-12-10 20:51:13.322991,684
2025-12-10 20:51:43.518696,685
2025-12-10 20:52:13.733260,684
2025-12-10 20:52:43.941623,685
2025-12-10 20:53:14.124909,686
2025-12-10 20:53:44.357628,688
2025-12-10 20:54:14.569504,692
2025-12-10 20:54:44.767671,692
2025-12-10 20:55:14.978940,692
2025-12-10 20:55:45.166198,692
2025-12-10 20:56:15.373437,692
2025-12-10 20:56:45.599027,691
2025-12-10 20:57:15.789373,692
2025-12-10 20:57:45.999935,692
2025-12-10 20:58:16.220799,694
2025-12-10 20:58:46.430730,694
2025-12-10 20:59:16.624559,694
2025-12-10 20:59:46.652299,694
2025-12-10 21:00:16.805775,695
2025-12-10 21:00:46.835386,695
2025-12-10 21:01:17.256638,696
2025-12-10 21:01:47.489969,696
2025-12-10 21:02:17.670389,696
2025-12-10 21:02:47.711183,697
2025-12-10 21:03:17.839360,698
2025-12-10 21:03:48.036892,698
2025-12-10 21:04:18.245172,697
2025-12-10 21:04:48.275248,695
2025-12-10 21:05:18.427783,690
2025-12-10 21:05:48.619286,689
2025-12-10 21:06:18.735667,688
2025-12-10 21:06:48.785367,689
2025-12-10 21:07:18.983048,690
2025-12-10 21:07:49.191581,691
2025-12-10 21:08:19.399298,692
2025-12-10 21:08:49.441852,694
2025-12-10 21:09:19.832265,695
2025-12-10 21:09:49.956788,696
2025-12-10 21:10:20.245962,701
2025-12-10 21:10:50.445055,705
2025-12-10 21:11:20.649965,708
2025-12-10 21:11:50.857172,710
2025-12-10 21:12:21.065877,712
2025-12-10 21:12:51.273553,715
2025-12-10 21:13:21.482142,724
2025-12-10 21:13:51.691611,731
2025-12-10 21:14:21.900769,744
2025-12-10 21:14:52.107462,769
2025-12-10 21:15:22.571206,776
2025-12-10 21:15:52.838244,781
2025-12-10 21:16:23.052166,794
2025-12-10 21:16:53.261704,803
2025-12-10 21:17:23.301508,813
2025-12-10 21:17:53.440562,817
2025-12-10 21:18:23.651304,819
2025-12-10 21:18:53.725838,820
2025-12-10 21:19:24.066049,824
